Artist,Song,Lyrics,Charting Number,Genre
Kanye West,Good Life,Kanye West Like we always do at this time I go for mine I got to shine Now throw your hands up in the sky I ggo for mine I got to shine Now throw your hands up in the sky  Im gonna get on this TV mama Im gonna Im gonna put shit down Hey hey hey hey hey hey Hey Im good  Verse 1 Kanye West Welcome to the good life Where niggas that sell D Wont even get pulled over in they new V The good life lets go on a living spree Shit they say the best things in life are free The good life it feel like Atlanta It feel like LA it feel like Miami It feel like NY summertime Chi ah Now throw your hands up in the sky So I roll through good Yall pop the trunk I pop the hood Ferrari And she got the goods And she got that ass I got to look sorry Yo its got to be cause Im seasoned Haters give me them salty looks Lawrys 50 told me go head switch the style up And if they hate then let em hate And watch the money pile up the good life  Now I I go for mine I got to shine Now throw your hands up in the sky Now I I go for mine I got to shine Now throw your hands up in the sky  Chorus  TPain  Verse 2 Kanye West Welcome to the good life Where we like the girls who aint on TV Cause they got more Ass than the models The good life so keep it coming with the bottles Till she feel boozed like she bombed out Apollo The good life it feel like Houston It feel like Philly it feel like DC It feel like VA or the Bay or Ye Ayy this is the good life Welcome to the good life  Homie tell me whats good Why I only got a problem when you in the hood Like Im new in the hood the only thing I wish I wish a nigga would He probably think he could but but I dont think he should 50 told me go head switch the style up And if they hate then let em hate And watch the money pile up the good life  Hook  Chorus  TPain  Verse 3 Have you ever popped champagne on a plane While getting some brain Whipped it out she said I never seen snakes on a plane Whether you broke or rich you gotta get biz Having moneys not everything not having it is I was splurging on trizz But when I get my card back activated Im back to Vegas cause I always had a passion for flashing before I had it I close my eyes and imagine the good life  TPain Is the good life better than the life I live When I thought that I was gonna go crazy And now my grandmama aint the only girl calling me baby And if you feeling me now then put your hands up in the sky And let me hear you say hey hey hey ooh Im good,79,Rap
Britney Spears,Womanizer,Superstar Where you from Hows it going I know you got a clue what youre doing You can play brand new to all the other chicks out here But I know what you are what you are baby  Look at you getting more than just a reup Baby you got all the puppets with their strings up Faking like a good one but I call em like I see em I know what you are what you are baby  Womanizer womanwomanizer Youre a womanizer oh womanizer oh Youre a womanizer baby You you you are you you you are Womanizer womanizer womanizer womanizer  Boy dont try to front I I know just just what you are are are Boy dont try to front I I know just just what you are are are You got me goin Youre oh so charmin But I can do it Womanizer  Boy dont try to front I I know just just what you are are are Boy dont try to front I I know just just what you are are are You say Im crazy I got your crazy Youre nothin but a womanizer  DaddyO You got the swagger of a champion Too bad for you You just cant find the right companion I guess when you have one too many makes it hard It could be easy who you are Thats just who you are baby  Lollipop Must mistake me youre a sucker To think that I would be a victim not another Say it play it how you wanna But no way Im ever gonna fall for you never you baby  Womanizer womanwomanizer Youre a womanizer oh womanizer oh Youre a womanizer baby You you you are you you you are Womanizer womanizer womanizer womanizer  Boy dont try to front I I know just just what you are are are Boy dont try to front I I know just just what you are are are You got me goin Youre oh so charmin But I can do it You womanizer  Boy dont try to front I I know just just what you are are are Boy dont try to front I I know just just what you are are are You say Im crazy I got your crazy Youre nothin but a womanizer  Maybe if we both lived in a different world Womanizer womanizer womanizer womanizer It would be all good And maybe I could be your girl But I cant cause we dont  Womanizer womanwomanizer Youre a womanizer oh womanizer oh Youre a womanizer baby You you you are you you you are Womanizer womanizer womanizer womanizer  Boy dont try to front I I know just just what you are are are Boy dont try to front I I know just just what you are are are You got me goin Youre oh so charmin But I can do it Womanizer  Boy dont try to front I I know just just what you are are are Boy dont try to front I I know just just what you are are are You say Im crazy I got your crazy Youre nothin but a womanizer  Boy dont try to front I I know just just what you are are are Boy dont try to front I I know just just what you are are are Womanizer womanwomanizer Youre a womanizer Oh womanizer oh Youre a womanizer baby,80,Pop
Taylor Swift,Love Story,We were both young when I first saw you I close my eyes and the flashback starts Im standing there on a balcony in summer air  See the lights see the party the ball gowns See you make your way through the crowd And say Hello Little did I know  That you were Romeo you were throwing pebbles And my daddy said Stay away from Juliet And I was crying on the staircase Begging you Please dont go And I said  Romeo take me somewhere we can be alone Ill be waiting all thats left to do is run Youll be the prince and Ill be the princess Its a love story baby just say Yes  So I sneak out to the garden to see you We keep quiet cause were dead if they knew So close your eyes Escape this town for a little while Oh oh  Cause you were Romeo I was a scarlet letter And my daddy said Stay away from Juliet But you were everything to me I was begging you Please dont go And I said  Romeo take me somewhere we can be alone Ill be waiting all thats left to do is run Youll be the prince and Ill be the princess Its a love story baby just say Yes  Romeo save me Theyre trying to tell me how to feel This love is difficult but its real Dont be afraid well make it out of this mess Its a love story baby just say Yes  Oh oh oh  I got tired of waiting Wondering if you were ever coming around My faith in you was fading When I met you on the outskirts of town And I said  Romeo save me Ive been feeling so alone I keep waiting for you but you never come Is this in my head I dont know what to think He knelt to the ground and pulled out a ring and said  Marry me Juliet youll never have to be alone I love you and thats all I really know I talked to your dad  go pick out a white dress Its a love story baby just say Yes  Oh oh oh oh oh oh  Cause we were both young when I first saw you,81,Country 
Mary J. Blige,Just Fine,Lil Wayne Yeah Yeah  Yeah  Im going in yall  Okay its Oh Eight  Young Wayne just back on the scene with the green And a cup full of ling Baling symbolizes the bottom We at the top And PimpC dead last year was a shock And my flow is so tip top notch Cause Im on my raps like a HipHop cop Why oh why My oh my Ms Mary J  I am so obliged for you to involve Weezy Baby I told my mom and she went crazy She said son thats a good look for ya  And she wanted me to let you know that  she would cook for ya But back to the subject Something you could dance to Cause Swizzy is a bad dude And Weezy is a can do And we are crack smack that never wack Like I never had a caddy I would never lack And I would never lie I would never say never When I ever say never say never cause I never gave up Whatever Its whatever I be with bad guys and good fellas Yeah Youre jealous And were not dot com  EMail us Yeah i did a joint wit Mary J Blige my nigga  Mary J Blige Let it go Cant let this thing called love get away from you Feel free right now going do what you want to do Cant let nobody take it away from you from me from we No time for moping around are you kidding And no time for negative vibes cause Im winning Its been a long week I put in my hardest Gonna live my life feels so good to get it right  So I like what I see when Im looking at me When Im walking past the mirror No stress through the night at a time in my life Aint worried about if you feel it Got my head on straight I got my mind right I aint gonna let you kill it You see I wouldnt change my life my lifes just  Fine fine fine fine fine fine ooooh Fine fine fine fine fine fine ooooh Just fine fine fine fine fine fine ooooh You see I wouldnt change my life my lifes just fine  Feels so good when youre doing all the things that you want to do Get the best out of life treat yourself to something new Keep your head up high In yourself believe in you believe in me Having a really good time Im not complaining And Im a still wear a smile if it raining I got to enjoy myself regardless I appreciate life Im so glad I got mine So I like what I see when Im looking at me  When Im walking past the mirror Aint worried about you and what you gonna do Im a lady so I must stay classy Got to keep it hot keep it together If I want to get better You see I wouldnt change my life my lifes just Fine fine fine fine fine fine ooooh Fine fine fine fine fine fine ooooh Just fine fine fine fine fine fine ooooh You see I wont change my life my lifes just fine  I aint gon let nothing get in my way I aint gone let nobody bring me down no no no No matter what nobody has to say No way no way no way I aint gon let nothing get in my way No matter what nobody has to say  Feels so good when youre doing all the things that you want to do Get the best out of life treat yourself to something new Its a really good thing to say That I wont change my life my lifes just fine  Fine fine fine fine fine fine ooooh Fine fine fine fine fine fine ooooh Just fine fine fine fine fine fine ooooh You see I wont change my life my lifes just fine  So I like what I see when Im looking at me When Im walking past the mirror No stress through the night at a time in my life Aint worried about if you feel it Got my head on straight I got my mind right I aint gonna let you kill it You see I wouldnt change my life my lifes just  Fine fine fine fine fine fine ooooh Fine fine fine fine fine fine ooooh Just fine fine fine fine fine fine ooooh You see I wouldnt change my life my lifes just fine,82,R&B
Britney Spears,Piece Of Me,Im Miss American Dream since I was 17 Dont matter if I step on the scene Or sneak away to the Philippines Theyre still gon put pictures of my derrire in the magazine You want a piece of me You want a piece of me  Im Miss Bad Media Karma Another day another drama Guess I cant see the harm In working and being a mama And with a kid on my arm Im still an exceptional earner You want a piece of me  Im Mrs Lifestyles Of The Rich And Famous You want a piece of me Im Mrs Oh My God That Britneys Shameless You want a piece of me Im Mrs Extra Extra This Just In You want a piece of me Im Mrs Shes Too Big Now Shes Too Thin You want a piece of me  Im Mrs You Want A Piece Of Me Tryin and pissin me off Well get in line with the paparazzi Whos flippin me off Hopin Ill resort to some havoc End up settlin in court Now are you sure you want a piece of me you want a piece of me  Im Mrs Most Likely To Get On The TV For Slippin On The Streets When getting the groceries no for real Are you kidding me No wonder theres panic in the industry I mean please Do you want a piece of me  Im Mrs Lifestyles Of The Rich And Famous You want a piece of me Im Mrs Oh My God That Britneys Shameless You want a piece of me Im Mrs Extra Extra This Just In You want a piece of me Im Mrs Shes Too Big Now Shes Too Thin You want a piece of me  Im Miss American Dream since I was 17 Dont matter if I step on the scene Or sneak away to the Philippines Theyre still gon put pictures of my derrire in the magazine You want a piece of me You want a piece piece of me You want a piece of me  Im Mrs Lifestyles Of The Rich And Famous You want a piece of me Im Mrs Oh My God That Britneys Shameless You want a piece of me Im Mrs Extra Extra This Just In You want a piece of me Im Mrs Shes Too Big Now Shes Too Thin You want a piece of me  Im Mrs Lifestyles Of The Rich And Famous You want a piece of me Im Mrs Oh My God That Britneys Shameless You want a piece of me Im Mrs Extra Extra This Just In You want a piece of me Im Mrs Shes Too Big Now Shes Too Thin You want a piece of me  Piece of me You want a piece of me me,83,Pop
Rick Ross,The Boss,Rick Ross  Intro TPain Ricky Ross The Boss TPain JJJJJR  Chorus TPain I got a fresh lineup yea a fresh outfit Bout to have the parkin lot on smash Plus I got a Chevy wit a fofiftyfo in the hood That bitch got 125 on the dash She like it gangsta cause Im the biggest boss that you seen thus far Im the  Im the biggest boss that you seen thus far  hey Im the biggest boss that you seen thus far Cause its just another day in the life of the goddamn boss  Rick Ross I dont make love baby we make magic Come home with a thug lets get shit crackin Always wear a plastic baby cause shit happens She leaked the back seat just a freak and a Magnum Hopped out the Magnum hopped in the Tre Just to let the top back and thank God for the day hey Who gives a fuck what a hater gotta say I made a couple million dollars last year dealin weight geah Still in the streets strapped with them thangs She in love with the G so she tatted my name Ross Im the biggest boss that you seen thus far Ten black Maybachs back to back in a lane Ima make it rain rain and Ima make it back back You are just a lame lil homie thats a fact Workin wit the police actin like you know me Fresh out of jail already in yo ho cheeks  Chorus  TPain The boss bossbossboss Bossbossboss bossbossboss The boss bossbossboss Bossbossboss bossboobboss And shawty straight diggin me and I aint even rich I know you niggaz on the sideline like Aint that a bitch Im ON my job ey  and I aint gettin off Cause its just another day in the life of the goddamn boss  Rick Ross Im the biggest boss that you seen thus far Ross Got the biggest cars Spanish broads no bra Call that other lame for the walks in the parks I aint come to play games I just wanna play my part Tell ya girlfriend come talk with me dog We straight Gs then we came here to ball Bottle after bottle and Im sure youll count em all Then we off to that Chevy  Fired up and takin off Baby slow it down cause you movin too fast Ass too fine to be movin too fast hol up Back to the thuggin now Im sippin sizzurp All my niggaz love it baby thats my wizzerd Stack for the jeans five  for the shizzerts I dont smoke twenties eight hundred for the izzerds Im the biggest boss that you seen thus far You can tell by the shones thats standin by the car  Chorus  TPain  Outro EyyeayeayeayeayeaaaaayeaYEA EyyeayeayeayeayeaaaaayeaYEA Eyyyy YEAA  uhhuh Ha ha Yeaea Haaaah yeayeayeayeaYEAA  Rick Ross Im the biggest boss that you seen thus far Im the biggest boss that you seen thus far Im the biggest boss that you seen thus far Im the  Im the biggest boss that you seen thus far Im the biggest boss that you seen thus far Im the  Im the biggest boss that you seen thus far,84,Rap
Kid Rock,All Summer Long,It was 1989 My thoughts were short my hair was long Caught somewhere between a boy and man She was seventeen And she was far from inbetween It was summertime in Northern Michigan  Splashing through the sand bar Talking by the campfire Its the simple things in life like when and where We didnt have no Internet But man I never will forget The way the moonlight shined upon her hair  And we were trying different things We were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle Not thinking bout tomorrow Singing Sweet home Alabama all summer long  Singing Sweet home Alabama all summer long  Catching Walleye from the dock Watching the waves roll off the rocks Shell forever hold a spot inside my soul Wed blister in the sun We couldnt wait for night to come To hit that sand and play some rock and roll  While we were trying different things And we were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle Not thinking bout tomorrow Singing Sweet Home Alabama all summer long  Singing Sweet Home Alabama all summer long  Sweet Home Alabama Turn it up  Now nothing seems as strange As when the leaves began to change Or how we thought those days would never end Sometimes I hear that song And I start to sing along And think man Id love to see that girl again  Man Id like to see that girl again  And we were trying different things And we were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle Not thinking bout tomorrow Singing Sweet Home Alabama all summer long  We were trying different things And we were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle Not thinking bout tomorrow Singing Sweet Home Alabama all summer long  Singing Sweet Home Alabama all summer long Singing Sweet Home Alabama all summer long Singing Sweet Home Alabama all summer long Singing Sweet Home Alabama all summer long  Singing Home Sweet Home Alabama all summer long Singing all summer long,85,Rock
Trey Songz,Can't Help But Wait,I cant help but wait Ohh uh Cant help but wait Check it out I see you you with him He aint right but you dont trip You stand by while he lies Then turn right round and forgive I cant take to see your face With those tears runnin down your cheeks But what can I do I gotta stay true Cause deep down Im still a G And I dont want to come between you and your man Even though I know I treat you better than he can Girl I cant help but wait Till you get back with him it dont change Cant help but wait Till you see that with me it aint the same Cant help but wait Till you see you for what you really are Baby girl you are a star And I cant help but wait I can tell how u walk he aint sexing u right Imagine us takin cold showers late night Kissin all over yo body mouth full of ice Lay u flat while I rub lotion on yo back Help u grease yo scalp while I drink Yac And let u spray my cologne on yo tbags Answer all yo questions bout a goon life Whisper bust it baby in yo ear how u like We make love to each other after we play fight I know its good cause u squeezing me real tight U got the qualities of being a real good wife Ull feel better after u get the lame out ya life Girl I cant help but wait Till you get back with him it dont change Cant help but wait Till you see that with me it aint the same Cant help but wait Till you see you for what you really are Baby girl you are a star And I cant help but wait Get it together You can do better See is believin And I see what you need so Im going to play my position Let you catch what youve been missing Im calling out  Girl cause I cant help but wait Till you get back with him it dont change Cant help but wait Till you see that with me it aint the same Cant help but wait Till you see you for what you really are Baby girl you are a star And I cant help but wait baby  Till you get back with him It dont change Cant help but wait Till you see that with me it aint the same Cant help but wait Till you see you for what you really are Baby girl you are a star And I cant help but wait  Ohohoh Cant help wait No oh no oh no oh I cant help but wait Cant help but wait Ohohoh Cant help wait No no no,86,R&B
Gavin DeGraw,In Love With A Girl,So many people gonna say that they want you To try to get you thinking they really care But theres nothing like the warmth of the one who has put in the time and you know is gonna be there Back your border when she knows someone crossed it Dont let nobody put you down who your with Take the pain of protecting your name from the crutch to the cane to the highwire  Im in love with a girl who knows me better Fell for the woman just when I met her Took my sweet time when I was bitter Someone understands And she knows how to treat a fella right Give me that feeling every night Wants to make love when I wanna fight Now someone understand me Im in love with a girl Im in love with x2  After many broken backdoors and windows Through the valley of the love of the lost Is a hole that is cut through the souls falling down from the thrones without any innuendos But you drown in a piece for the moment The moment was over in time Then its gone the hit and run the guiltless one has a short life  Im in love with a girl who knows me better Fell for the woman just when I met her  Took my sweet time when I was bitter Someone understands And she knows how to treat a fella right Give me that feeling every night Wants to make love when I wanna fight Now someone understand me Im in love with a girl Im in love with x2  Gonna tell you what you do to think you practice what you preach Now I know theres nothing we cant reach cause the heart cant erase once it finds a place to be warm and welcome To be held in shelter  Im in love with a girl who knows me better Fell for the woman just when I met her Took my sweet time when I was bitter Someone understands And she knows how to treat a fella right Give me that feeling every night Wants to make love when I wanna fight Now someone understands me Im in love with a girl Im in love with x3 Who knows me better Wants to make love when I wanna fight now someone understand me,87,Rock
The Game,My Life,Punkass motherfucker Bitchass nigga Yous gonna do Kill me in my sleep you bitchass nigga Tupac Biggie shut the fuck up Fucking dogs they barking and shit Dont shoot Dont shoot Fuck you nigga  Lil Wayne And Im grindin until Im tired Cause they say You aint grindin until you die So Im grinding with my eyes wide Looking to find A way through the day A life for the night Dear Lord you done took so many of my people Im just wondering why you havent taken my life Like what the hell am I doing right My life Take me away from the hood Like a state penitentiary Take me away from the hood In a casket or a Bentley Take me away Like I overdosed on cocaine Or take me away Like a bullet from Kurt Cobain Suicide Im from a Windy City Like Do or Die From a block close to Where Biggie was crucified That was Brooklyns Jesus Shot for no fucking reason And you wonder why Kanye Wears Jesus pieces My life Cause thats Jesus people And Game hes the equal Hated on so much Passion Of Christ need a sequel Yeah like Rockafella needed a Siegal Like I needed my father But he needed a needle My life I need some meditation So I can lead my people They askin why Why did John Lennon leave The Beetles And why every hood nigga Feed off evil Answer my question fore this Bullet leave this Desert Eagle  Lil Wayne And Im grindin until Im tired Cause they say You aint grindin until you die So Im grinding with my eyes wide Looking to find A way through the day A life for the night Dear Lord you done took so many of my people Im just wondering why you havent taken my life Like what the hell am I doing right My life We are not the same I am a Martian So approach my Phantom doors with caution You see them 24s spinnin I earned them  And I aint no preacher but heres my Erick Sermon So eat this black music and tell me how it taste now And fuck Jesse Jackson cause it aint about race now  Original lines And all the pictures of me and Em I burned them So theres no proof that I ever walked through 8 Mile And since there aint no Proof Ill never walk through 8 Mile  Sometimes I think about my life with my face down Then I see my sons and put on that Kanye smile Damn I know his mama proud And since you helped me sell my dream We can share my mama now And like MJB no more drama now Livin the good life Me and Common on common ground I spit crack And niggas could drive it outta town Got a Chris Paul mind state Im never out of bounds My life used to be empty Like a Glock without a round Now my life full Like a chopper with a thousand rounds  Lil Wayne And Im grindin until Im tired Cause they say You aint grindin until you die So Im grinding with my eyes wide Looking to find A way through the day A life for the night Dear Lord you done took so many of my people Im just wondering why you havent taken my life Like what the hell am I doing right My life Walk through the gates of hell See my Impala parked in front With the high beams on Me and the devil Sharing chronic blunts Listening to The Chronic album Playin backwards Shootin at pictures of Don Imus For target practice My mind fucked up so I Cover it with a Raider hood Im from the city that made you Motherfuckers afraid of Suge Compton Made my grandmother pray for good It never made her happy But I bet that new Mercedes could My life Aint no bars but niggas cant Escape the hood And it took so many of my niggas That I should hate the hood But its real niggas like me That make the hood Ridin slow in that Phantom Just the way I should With the top back And my Sox hat Im paid in full The nigga Alpo couldnt stop that Even if they brought the nigga Pac back Id still keep this motherfucker cocked back  Lil Wayne And Im grindin until Im tired Cause they say You aint grindin until you die So Im grinding with my eyes wide Looking to find A way through the day A life for the night Dear Lord you done took so many of my people Im just wondering why you havent taken my life Like what the hell am I doing right  My life My life My life My life,88,Rap
Keyshia Cole,I Remember,Oh Remember Oh I remember I wanna know  Where were you when I said I loved you And where were you when I cried at night Waiting up couldnt sleep without you Thinking of all the times we shared I remember when my heart broke I remember when I gave up loving you My heart couldnt take no more of you I was sad and lonely I remember when I walked out I remember when I screamed I hated you But somehow deep inside still loving you Sad and lonely  No one knew all the pain I went through All the love I saved deep in my heart for you Didnt know where I would go where I would be But you made me leave And plus my heart it just it just kept telling me so  Chorus There was nowhere else to go oh Nobody else to turn to no For the rest of my life I promised myself I will love me first genuinely  Chorus  I remember when I walked out I remember when I gave up loving you My heart couldnt take no more of you So sad and lonely hey I remember when I stormed out I remember when I gave up loving you I was sad and lonely,89,R&B
Kanye West,Flashing Lights,Raheem Devaughn Turn up ya radio now I suggest Its the remix and we the best Raheem DeVaughn and Kanye West  Man hold your head high  Cause its the test And what dont kill you Make you stronger my brotha So when you feelin down my brotha And getta mournin the lost of your mother Heavens got a brandnew angel shining down like bright lights  Flashing lights lights BCI to Chi Town Flashing lights lights See my name like the Hollywood sign Flashing lights lights And you can hate it but Im still gon shine Flashing lights lights Im still gon shine Flashing lights lights Yeah Im still gon shine Yeah still gon shine  Raheem Devaughn My names been spreadin lik a rumor In the hood Im buzzin like a tumor GGirl you aint gettin no paper I know that youre a starchaser  You hooked You want You love the Flashing lights lights Maybe its the way I entertain Maybe its the way I shine like Flashing lights lights But you thrist you crave you yearn the flashing light  And now you drunk  Cause you cant hold yo liquor Talkin bout you came in the club wit yo na Askin can you leave wit me Go figure But I would rather leave wit Alicia Keys  Southern paparizzi NO Flashing lights lights No pictures No videos That be a good look scenrio Flashing lights lights They caught me on the red carpet though  Raheem Devaughn As I recall I know you love to show off But I never thought that you would take it this far What do I know Flashing lights lights What do I know Flashing lights lights  Kanye West I know its been a while sweetheart We hardly talk I was doing my thing I know I was foul baybay Abaybay lately you been all on my brain  And if somebody wouldve told me a month ago Fronting though yo I wouldnt wanna know If somebody wouldve told me a year ago Itd go get this difficult  Feeling like Katrina with no FEMA Like Martin with no Gina Like a flight with no visa First class with the seat back I still see ya In my past you on the other side of the glass Of my memorys museum Im just saying Hey Mona Lisa Come home you know you cant Rome without Caesar  Raheem Devaughn As I recall I know you love to show off But I never thought that you would take it this far What do I know Flashing lights lights What do I know Flashing lights lights  As you recall you know I love to show off But you never thought that I would take it this far What do you know Flashing lights lights What do you know Flashing lights lights  Im in the speakers shinin like Im on stage shinin like Im in the club shinin like Im in the hood shinin like  Flashing lights lights  So put your shades on right Flashing lights lights Cause Im shinin bright like flashing Lights lights lights lights lights lights lightsfading LIGHTS Im shininOhhh Ohhh Fade out,90,Rap
Lil Wayne,Mrs. Officer,Valentino Bobby Valentino When I get up all in you We can hear the angels calling us chea We can see the sunrise before us And when Im in that thang Ill make that body sang She know what I mean I make it say  Wee ooh wee ooh wee wee Wee ooh wee ooh wee wee Wee ooh wee ooh wee Like a cop car Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee Ill make you say Doing a buck in the latest drop I got stopped by a lady cop She got me thinking I can date a cop Cause her uniform fit her so tight She read me my rights She put me in the car she cut off her lights She said I had the right to remain silent Now I got her hollering sounding like a siren Talkin bout  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee  And I know she the law and she know Im the boss And she know I get high above the law And she know Im raw she know Im from the street And all she want me to do is fuck the police Talkin about  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee When I get up all in you We can hear the angels calling us We can see the sunrise before us And when Im in that thang Ill make that body sang I make it say  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee Like a cop car Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee Ill make you say And after we got done I said Lady whats your number She said 911 emergency only Head doctor perform surgery on me and now Im healed I make her wear nothing but handcuffs and heels And I beat it like a cop Rodney King baby yeah I beat it like a cop beat it like a cop Rodney King baby said beat it like a cop But I aint tryna be violent But Ill do the time but her love is timeless Mrs Officer I know you wish your name was Mrs Carter huh  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee Like a cop car When I get up all in you We can hear the angels calling us We can see the sunrise before us And when Im in that thang Ill make that body sang I make it say  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee Ill make you say Mrs Officer Mrs Officer Tell your lieutenant get them cuffs off of you Im Kidd Kidd my face on every wanted poster Im wanted by every lady cop all over That ass so big I catch a battery to hold you hands so big you thought I told you to pull it over She pulled me over pulled me out the rover Then she pulled me closer threw me in the back of the car Put me in handcuffs start ripping my pants off all you heard over the dispatcher is  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee When I get up all in you We can hear the angels calling us We can see the sunrise before us And when Im in that thang Ill make that body sang I make it say Maybe you can lock me up and throw away the key Call your sergeant and tell him you cant finish your shift Cause its on tonight Breakfast in bed turns to breakfast and head And I cant wait to get it on I wanna do it all night long Mrs Officer When I get up all in you We can hear the angels calling us We can see the sunrise before us And when Im in that thang Ill make that body sang I make it say  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee  Wee ooh wee ooh wee Wee ooh wee ooh wee Wee ooh wee ooh wee Ill make you say,91,Rap
Miley Cyrus,7 Things,I probably shouldnt say this But at times I get so scared When I think about the previous Relationship weve shared  It was awesome But we lost it Its not possible For me not to care  And now were standing in the rain But nothings ever gonna change Until you hear My dear  The 7 things I hate about you The 7 things I hate about you oh you  Youre vain your games youre insecure You love me you like her You make me laugh you make me cry I dont know which side to buy  Your friends theyre jerks When you act like them Just know it hurts  I wanna be with the one I know And the 7th thing I hate the most that you do You make me love you  Its awkward and silent As I wait for you to say But what I need to hear now Is your sincere apology  When you mean it Ill believe it If you text it Ill delete it  Lets be clear Oh Im not coming back Youre taking 7 steps here  The 7 things I hate about you  Youre vain your games youre insecure You love me you like her You make me laugh you make me cry I dont know which side to buy  Your friends theyre jerks When you act like them Just know it hurts  I wanna be with the one I know And the 7th thing I hate the most that you do You make me love you  And compared to all the great things That would take too long to write I probably should mention The 7 that I like  The 7 things I like about you  Your hair your eyes your old Levis When we kiss Im hypnotized You make me laugh you make me cry But I guess thats both Ill have to buy  Your hand in mine When were intertwined Everythings alright  I want to be with the one I know And the 7th thing I like the most that you do You make me love you You do,92,Pop
Trace Adkins,You're Gonna Miss This,She was staring out that window of that SUV Complaining saying I cant wait to turn 18 She said Ill make my own money and Ill make my own rules Mamma put the car in park out there in front of the school Then she kissed her head and said I was just like you  Chorus Youre gonna miss this Youre gonna want this back Youre gonna wish these days hadnt gone by so fast These Are Some Good Times So take a good look around You may not know it now  But youre gonna miss this  Before she knows it shes a brand new bride In a onebedroom apartment and her daddy stops by He tells her Its a nice place She says Itll do for now Starts talking about babies and buying a house Daddy shakes his head and says Baby just slow down  Chorus Youre gonna miss this Youre gonna want this back Youre gonna wish these days hadnt gone by so fast These Are Some Good Times So take a good look around You may not know it now  But youre gonna miss this  Five years later theres a plumber workin on the water heater Dogs barkin phones ringin One kids cryin one kids screamin She keeps apologizin He says They dont bother me  Ive got 2 babies of my own  Ones 36 ones 23 Huh its hard to believe but   Chorus Youre gonna miss this Youre gonna want this back Youre gonna wish these days hadnt gone by so fast These Are Some Good Times So take a good look around  You may not know it now  But youre gonna miss this Youre gonna miss this Yeah youre gonna miss this,93,Country 
Gavin Rossdale,Love Remains The Same,A thousand times Ive seen you standing Gravity like a lunar landing Make me want to run till I find you I shut the world away from here Drift to you youre all I hear Everything we know fades to black  Half the time the world is ending Truth is I am done pretending  I never thought that I had anymore to give Pushing me so far Here I am without you Drink to all that we have lost Mistakes we have made Everything will change But love remains the same  Find the place where we escape Take you with me for a space The city buzz sounds just like a fridge I walk the streets through seven bars I had to find just where you are The faces seems to blur theyre all the same  Half the time the world is ending Truth is I am done pretending  I never thought that I had anymore to give Pushing me so far Here I am without you Drink to all that we have lost Mistakes we have made Everything will change But love remains the same  So much more to say So much to be done Dont you trick me out We shall overcome So all have stayed in place We should have had the sun Could have been inside Instead were over here  Half the time the world is ending Truth is I am done pretending Too much time too long defending You and I are done pretending  I never thought that I had anymore to give Pushing me so far Here I am without you Drink to all that we have lost Mistakes we have made Everything will change Everything will change  I oh I I  wish this could last forever I oh I I As if we could last forever  Love remains the same Love remains the same,94,Rock
Daughtry,Feels Like Tonight,You you got me Thinking itll be alright You you told me Come and take a look inside You believed me In every single lie But I I failed you this time  And it feels like tonight I cant believe Im broken inside Cant you see that theres nothing that I wanna do But try to make it up to you And it feels like tonight Tonight  I was waiting For the day youd come around I was chasing And nothing was all I found From the moment you came into my life You showed me whats right  And it feels like tonight I cant believe Im broken inside Cant you see that theres nothing that I wanna do But try to make it up to you And it feels like tonight  I never felt like this before Just when I leave Im back for more Nothing else here seems to matter In these everchanging days Youre the one thing that remains I could stay like this forever  And it feels like tonight I cant believe Im broken inside Cant you see that theres nothing that I wanna do But try to make it up to you And it feels like tonight Tonight Tonight Cause theres nothing that I wanna do But try to make it up to you And it feels like tonight Tonight,95,Pop
